,id_user,timestamp,source,message,categories
0,4844,2024-11-01,livechat,What time is it where u are,undefined
1,3985,2024-11-01,livechat,What happened to the Cashback piggy?,money_issue
2,2578,2024-11-01,livechat,Deactivated,undefined
3,1040,2024-11-01,telegram,It says access issues detected,account_issue
4,4288,2024-11-01,livechat,Im in arizona,undefined
5,1039,2024-11-01,telegram,My free signup bonus doesn’t work,spin_issue money_issue
6,247,2024-11-01,livechat,I don't understand what u mean,undefined
7,4421,2024-11-01,livechat,Im in the us,undefined
8,4230,2024-11-01,livechat,The bonus of 0.0036... I just added and active but that one isn't showing,money_issue
9,3713,2024-11-01,livechat,Okay hopefully I don't have to bother you anymore I apologize.,undefined
10,4233,2024-11-01,livechat,To withdraw my money I am a continuously paying client,money_issue game_issue
11,4117,2024-11-01,livechat,"may I upload the document here, and you can tell me if it’s alright or not?",undefined
12,4468,2024-11-01,livechat,Hi can i have my depositing currency changed back to Ethereum please?,money_issue
13,4566,2024-11-01,livechat,I am sorry for being so angry but u would be too,undefined
14,3848,2024-11-01,livechat,ive depoistioed so much everyday,money_issue
15,4239,2024-11-01,livechat,Making sure its to this address,undefined
16,1050,2024-11-01,telegram,So I basically was undermined and signed up and used my last of my BTC balance to get in with u guys,spin_issue money_issue
17,1050,2024-11-01,telegram,Sorry,undefined
18,1050,2024-11-01,telegram,❤️,undefined
19,4105,2024-11-01,livechat,It may be that the bonus has been delayed however I want to check as I’ve usually received it by now every week.,money_issue
20,1053,2024-11-01,telegram,I never created another account is it possible someone might have created another account and since it seems that is tr case can you shut it down,spin_issue money_issue account_issue
21,4659,2024-11-01,livechat,I don’t need bonus and I just want to get my desposit,money_issue
22,5062,2024-11-01,livechat,I already deposited too many time even I had lost,money_issue
23,4485,2024-11-01,livechat,hey I just wanted to know the time my account will be reopened,account_issue
24,5132,2024-11-01,livechat,"On my case, i dont huh?",money_issue
25,4167,2024-11-01,livechat,today about a $100 no deposit bonus,money_issue
26,1059,2024-11-01,telegram,I was playing the game 777 slots it took my whole balance and said I have no funds left for my bet which is not right I still had funds in my account this is rediculas and I am not happy at all,money_issue game_issue account_issue
27,4190,2024-11-01,livechat,as a side note; david was completely unprofessional and almost seemed drunk,undefined
28,4227,2024-11-01,livechat,"Ok. My card is at home and i am at work. I might play some more, and upload details when i have my card with me again.",game_issue account_issue
29,4350,2024-11-01,livechat,Then my game was glitched then,game_issue
30,4259,2024-11-01,livechat,it’s already auto collected the jackpot mania now,game_issue
